"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00013291",88.6177894637433,-0.578846122725364,0.257086149285264,-2.25156479388189,0.0243497879828847,0.0480752224277467,-1
"remanei_genome_00020035",2.37386842310372,-0.515443867700339,1.45308236502431,-0.354724467178925,0.722796019255975,0.773307513082672,0
"remanei_genome_00010364",890.212099593426,0.819210447294341,0.325181438633913,2.51924110655222,0.0117608092978549,0.0257817029447637,1
"remanei_genome_00010365",2330.60999938862,0.878590627367968,0.44957165768304,1.95428384408387,0.0506676584122776,0.0896875792585144,0
"remanei_genome_00010366",1035.47033034777,1.0653444115257,0.375320103229649,2.83849546655869,0.00453267632527598,0.0111240183919124,1
"remanei_genome_00010367",211.413086243421,0.95617708896358,0.300916033198165,3.17755447857409,0.00148522783802519,0.00446292852791959,1
"remanei_genome_00010369",438.724488610257,0.792879530243838,0.417416187292645,1.89949396880471,0.0574995588617178,0.100056153482879,0
"remanei_genome_00003899",228.016994094604,1.3521922971991,0.220810955350071,6.12375547696601,9.13951226269843e-10,8.15933268669889e-09,1
"remanei_genome_00003903",7.82646415656401,0.837212514051658,0.789040682363629,1.06105113812855,0.288666661718348,0.382405728211833,0
"remanei_genome_00016195",5220.67459835426,-1.05776523709984,0.291570187099929,-3.6278237072891,0.000285820307463126,0.00104180656448098,-1
"remanei_genome_00020005",20.3411950368277,1.23986669606377,0.704655332328565,1.75953638492534,0.0784864458492902,0.128243105154278,0
"remanei_genome_00004463",1.33617558993488,-2.15021981574896,2.01694230112234,-1.06607899222127,0.286387935221406,0.380204672621522,0
"remanei_genome_00004471",1.0470234019277,0.0809300217990242,1.66513523208001,0.0486026721673112,0.961235940402228,0.967518528247995,0
"remanei_genome_00004804",16.4037956295871,-1.4622425750589,0.677588472371934,-2.15800981669633,0.0309270685708536,0.0587996118507587,0
"remanei_genome_00004805",151.991832411373,-1.49531704811797,0.689843592214773,-2.1676175077849,0.0301878005501359,0.057571780615739,0
"remanei_genome_00007598",9.38062635450567,-3.78695451481839,1.03419106862953,-3.66175519175265,0.000250493171064186,0.000918474960568683,-1
